Sample_ID,State,Water_Source,pH,Temperature_C,Turbidity_NTU,Dissolved_Oxygen_mgL,BOD_mgL,COD_mgL,Total_Dissolved_Solids_mgL,Electrical_Conductivity_uScm,Total_Hardness_mgL,Calcium_mgL,Magnesium_mgL,Chloride_mgL,Sulfate_mgL,Nitrate_mgL,Fluoride_mgL,Total_Coliform_MPN100mL,Lead_mgL,Sampling_Date,WQI_Score,WQI_Class
WQ1136,MadhyaPradesh,River,7.37,28.0,2.57,2.85,0.29,18.52,1006.0,425.4,99.3,68.12,26.69,31.39,61.19,0.01,0.79,142.0,0.0187,2025-06-07,95.52,Excellent
WQ1137,Karnataka,Lake,5.57,27.8,10.8,6.83,0.91,13.6,242.4,737.9,194.3,72.0,6.7,16.16,25.02,10.53,0.71,95.0,0.0103,2025-05-08,84.14,Good
WQ1138,Karnataka,Reservoir,7.0,29.9,11.3,6.7,6.23,0.82,179.2,549.1,292.9,34.82,23.39,12.36,15.92,11.15,0.94,249.0,0.0162,2025-08-29,81.43,Good
WQ1139,Assam,River,6.65,27.5,11.99,6.35,0.41,83.11,596.9,1053.7,327.0,64.21,14.67,232.15,1.0,10.99,0.18,219.0,0.0154,2025-03-23,88.55,Good
WQ1140,Bihar,River,6.4,25.8,1.88,4.91,3.82,9.67,34.6,1093.3,469.3,5.97,33.33,346.27,63.62,3.39,0.35,106.0,0.0021,2025-06-26,88.63,Good
WQ1141,Delhi,Groundwater,6.98,29.4,5.87,4.66,0.32,3.3,402.9,959.2,345.6,72.06,55.87,3.68,89.73,5.91,0.65,289.0,0.0105,2024-12-15,93.0,Excellent
WQ1142,Punjab,Pond,8.64,23.9,1.58,7.93,2.93,21.97,879.2,791.8,244.3,76.51,31.0,13.03,25.13,3.57,0.35,209.0,0.0022,2024-11-23,83.77,Good
WQ1143,Karnataka,Reservoir,7.71,19.6,1.06,5.9,1.32,6.69,141.0,630.7,161.0,78.69,1.11,44.07,41.53,0.13,0.72,226.0,0.0088,2024-10-12,91.85,Excellent
WQ1144,Delhi,Tap,6.74,23.2,1.02,7.63,4.67,17.63,53.6,342.4,193.6,50.12,20.67,16.5,12.92,6.61,0.6,470.0,0.0113,2024-02-04,84.71,Good
WQ1145,Delhi,Tap,7.66,20.3,2.09,5.23,0.8,17.67,150.2,1283.1,190.7,67.73,26.47,36.19,48.67,1.06,0.07,46.0,0.0589,2025-06-16,94.1,Excellent
WQ1146,Punjab,Tap,8.32,20.6,2.81,7.36,3.06,11.8,629.7,472.1,315.5,95.6,26.05,11.06,1.0,0.67,0.91,47.0,0.0003,2025-09-14,87.3,Good
WQ1147,Bihar,Well,7.94,23.3,8.89,9.61,0.81,36.17,675.0,899.1,275.7,95.34,16.23,48.78,33.53,11.27,0.77,330.0,0.001,2025-05-02,84.74,Good
WQ1148,Rajasthan,Well,7.25,20.0,0.64,8.17,3.75,6.16,347.5,1017.9,117.6,59.27,27.94,25.36,51.67,0.08,0.64,222.0,0.0008,2025-05-01,90.69,Excellent
WQ1149,WestBengal,Lake,6.68,22.5,6.64,6.18,6.21,11.91,586.6,533.4,206.4,63.48,10.09,34.7,125.17,25.56,0.1,392.0,0.0051,2024-05-24,75.5,Good
WQ1150,Gujarat,Reservoir,7.76,14.5,3.79,7.51,0.41,15.43,728.1,1011.4,337.8,87.77,13.66,7.92,24.01,5.79,0.19,10.0,0.0172,2025-06-07,92.61,Excellent
WQ1151,WestBengal,Tap,7.51,25.1,1.7,6.52,6.04,21.79,807.5,929.3,285.2,22.48,32.75,44.71,72.45,32.6,0.3,148.0,0.0186,2024-05-25,76.62,Good
WQ1152,TamilNadu,Well,7.92,24.0,3.39,7.02,2.7,30.65,400.7,1218.4,306.9,51.92,12.81,327.18,45.53,0.48,0.2,23.0,0.0134,2025-05-17,89.96,Good
WQ1153,MadhyaPradesh,Lake,7.71,19.9,1.78,6.35,0.41,10.04,20.0,559.2,288.3,93.39,31.46,31.9,130.87,7.01,0.16,105.0,0.0227,2025-08-26,92.15,Excellent
WQ1154,Gujarat,Pond,8.04,27.3,4.53,6.67,1.67,20.77,285.8,314.2,412.6,84.38,8.57,167.28,25.41,3.44,0.98,25.0,0.0039,2025-09-18,89.65,Good
WQ1155,TamilNadu,Lake,6.77,28.7,2.84,7.42,0.53,3.26,364.6,548.4,273.6,69.23,46.18,148.22,19.22,14.84,0.61,21.0,0.0009,2025-06-10,92.54,Excellent
WQ1156,Karnataka,Well,8.25,16.0,0.9,5.01,3.62,53.96,398.2,762.7,211.4,22.35,15.71,243.02,109.08,3.59,0.5,2.0,0.0006,2024-09-28,86.95,Good
WQ1157,MadhyaPradesh,Groundwater,7.36,20.2,0.62,4.97,4.27,9.66,412.4,717.5,158.4,58.75,22.32,124.89,2.52,2.41,0.15,149.0,0.0191,2025-06-17,89.4,Good
WQ1158,Haryana,Groundwater,8.86,20.2,3.96,4.22,0.34,26.15,673.8,582.0,275.0,45.25,28.97,86.21,7.33,15.59,1.5,67.0,0.0131,2025-09-21,83.66,Good
WQ1159,Punjab,Tap,6.65,19.3,11.64,3.8,2.12,0.41,704.9,127.2,10.0,68.28,18.22,155.36,4.3,3.76,0.13,17.0,0.012,2024-04-04,90.28,Excellent
WQ1160,Gujarat,Groundwater,8.59,28.1,2.11,4.57,5.06,4.59,415.7,841.1,231.6,39.77,26.72,6.29,92.61,0.14,0.95,58.0,0.0042,2025-03-22,83.2,Good
WQ1161,Gujarat,Tap,7.36,23.0,6.6,7.32,8.25,13.35,669.7,1291.7,229.4,34.36,31.9,49.72,1.0,3.96,2.04,28.0,0.0048,2025-02-18,82.38,Good
WQ1162,Odisha,Tap,6.68,22.7,5.37,5.21,2.16,42.12,521.5,839.3,113.6,8.38,36.53,362.67,98.9,8.5,0.78,426.0,0.0317,2024-09-13,86.74,Good
WQ1163,Karnataka,Well,6.81,14.0,13.41,8.03,9.0,14.98,462.9,882.7,157.2,90.55,34.5,117.44,30.01,2.35,2.97,58.0,0.0007,2024-09-18,80.24,Good
WQ1164,Rajasthan,Groundwater,6.94,27.2,8.6,7.07,2.3,53.15,631.3,871.7,331.0,50.01,22.94,261.77,1.0,4.52,0.63,61.0,0.0149,2024-03-27,91.7,Excellent
WQ1165,Delhi,Tap,7.54,17.8,4.18,3.06,1.5,13.23,464.5,819.1,273.1,63.93,23.24,121.0,25.68,0.47,0.15,275.0,0.0037,2025-03-11,90.9,Excellent
WQ1166,MadhyaPradesh,Reservoir,7.62,24.3,5.35,8.31,5.66,13.48,861.6,979.5,260.2,59.94,53.19,166.28,10.34,7.1,0.14,157.0,0.0004,2025-07-23,83.11,Good
WQ1167,Karnataka,Pond,6.74,25.4,11.43,8.62,2.04,2.55,162.3,818.6,280.6,33.31,36.4,98.08,48.96,11.29,0.24,186.0,0.0136,2024-04-17,86.96,Good
WQ1168,Maharashtra,Lake,7.18,30.8,2.55,5.01,1.92,32.46,347.0,606.2,259.3,28.52,13.94,114.34,56.87,4.27,0.0,152.0,0.004,2024-01-19,92.65,Excellent
WQ1169,Bihar,Lake,8.91,17.5,1.98,7.84,2.02,5.67,424.7,461.2,374.3,34.87,26.2,59.25,33.43,4.36,0.69,438.0,0.0128,2024-12-30,81.14,Good
WQ1170,Delhi,Well,8.58,8.9,0.05,5.29,5.63,45.97,537.9,625.3,262.3,41.92,20.98,206.41,2.07,0.74,0.19,35.0,0.0123,2025-10-14,83.07,Good
WQ1171,Punjab,Groundwater,7.55,24.9,8.76,7.2,5.35,48.34,703.6,794.2,104.2,69.17,23.38,139.46,53.37,1.8,1.01,677.0,0.0077,2025-01-13,79.29,Good
WQ1172,Delhi,Groundwater,7.23,33.0,8.07,4.47,1.55,57.4,445.1,605.2,413.0,40.11,10.25,148.57,92.27,1.34,0.27,267.0,0.015,2024-06-08,91.03,Excellent
WQ1173,Rajasthan,Tap,7.3,30.2,0.55,3.41,1.22,14.69,165.6,794.3,287.0,103.66,20.06,89.43,63.71,5.26,0.39,133.0,0.0087,2024-04-09,93.6,Excellent
WQ1174,Assam,River,7.69,25.0,4.3,6.23,2.03,22.61,618.5,831.7,191.1,85.68,46.74,29.06,88.59,6.03,2.02,163.0,0.0034,2024-09-21,88.78,Good
WQ1175,Odisha,Tap,6.38,21.5,3.12,6.75,2.55,30.15,601.0,950.0,124.7,80.21,31.95,2.9,11.19,23.8,0.17,157.0,0.0132,2024-02-18,83.43,Good
WQ1176,Delhi,Pond,6.99,28.0,0.63,6.2,0.82,2.81,61.6,1084.8,289.6,57.01,1.0,219.48,109.86,0.61,0.77,9.0,0.0089,2025-11-07,98.26,Excellent
WQ1177,Punjab,Reservoir,5.87,19.1,19.7,4.63,4.74,18.37,449.2,723.4,238.3,97.86,39.6,70.57,19.44,7.33,0.84,37.0,0.0001,2025-02-18,78.76,Good
WQ1178,Rajasthan,Lake,7.52,26.4,1.21,6.2,2.0,0.7,132.0,307.7,407.4,54.55,38.08,28.32,1.0,5.98,0.15,488.0,0.0232,2024-02-28,87.36,Good
WQ1179,WestBengal,Tap,7.72,26.5,0.35,7.54,1.22,13.77,317.1,596.5,215.4,59.22,20.69,12.92,92.7,5.81,0.42,115.0,0.0079,2024-07-01,91.57,Excellent
WQ1180,Gujarat,River,6.81,29.3,4.52,6.91,0.34,3.36,269.4,713.2,166.3,64.25,33.61,141.53,142.21,16.52,0.26,71.0,0.0203,2025-10-20,91.52,Excellent
WQ1181,Assam,River,8.46,37.8,6.71,7.37,0.82,4.04,611.9,149.3,339.6,77.55,14.69,144.89,53.29,1.84,0.89,215.0,0.0214,2025-03-22,86.75,Good
WQ1182,Odisha,Tap,6.22,26.0,0.16,5.66,8.94,9.08,473.4,1116.6,342.5,75.92,19.36,134.78,13.16,0.33,0.58,112.0,0.0059,2024-10-27,81.42,Good
WQ1183,Gujarat,Well,6.03,21.5,5.38,9.34,1.09,11.33,192.9,742.7,266.9,48.12,42.98,82.87,14.5,8.92,0.39,2.0,0.0071,2025-08-30,89.2,Good
WQ1184,Bihar,Lake,7.38,23.9,3.8,4.65,0.55,19.52,626.0,814.4,317.6,46.68,21.74,36.46,31.42,3.39,0.91,200.0,0.0054,2025-07-08,93.12,Excellent
WQ1185,TamilNadu,Well,8.04,15.2,0.54,7.98,1.85,1.55,163.2,1109.7,246.2,76.0,2.56,29.0,114.06,0.14,0.16,198.0,0.006,2024-12-19,89.84,Good
WQ1186,Assam,Reservoir,8.55,20.5,0.95,9.36,1.1,14.01,516.0,511.0,273.4,77.88,24.24,2.0,8.1,2.32,0.84,27.0,0.0226,2024-07-31,89.35,Good
WQ1187,Assam,River,6.83,22.0,4.2,7.96,0.11,4.03,287.2,872.2,366.5,50.17,24.06,143.47,87.43,2.96,1.2,471.0,0.0155,2024-07-07,92.13,Excellent
WQ1188,WestBengal,River,8.06,21.4,1.76,6.59,1.17,17.07,376.9,667.0,312.5,20.32,39.38,7.32,17.22,7.67,1.27,38.0,0.0014,2025-10-04,89.74,Good
WQ1189,WestBengal,Pond,7.17,24.8,13.93,5.94,2.36,20.29,550.9,644.8,233.1,54.82,25.17,79.7,82.67,1.52,0.92,92.0,0.0094,2024-12-12,90.05,Excellent
WQ1190,MadhyaPradesh,Reservoir,7.06,19.9,8.54,9.07,2.41,16.27,554.3,468.3,385.2,75.59,19.94,56.11,126.46,4.26,0.31,18.0,0.055,2024-05-16,92.06,Excellent
WQ1191,Kerala,River,7.91,29.6,20.54,4.15,1.32,26.81,717.4,1199.7,13.5,105.14,37.54,59.84,27.89,5.27,2.4,139.0,0.0091,2024-01-30,84.34,Good
WQ1192,Delhi,Reservoir,7.72,24.0,1.5,5.06,1.78,8.18,433.5,587.3,455.2,30.05,26.45,209.07,22.71,4.92,0.29,71.0,0.0154,2024-05-25,91.09,Excellent
WQ1193,Assam,Lake,5.94,24.0,17.49,6.2,10.1,28.97,511.3,909.8,79.4,49.34,16.0,2.57,81.03,29.18,0.61,65.0,0.0147,2025-04-12,64.9,Medium
WQ1194,Gujarat,Groundwater,8.38,22.4,2.82,9.48,1.42,11.34,362.5,137.5,187.3,50.26,38.86,118.76,37.7,0.37,0.11,263.0,0.0043,2025-09-08,87.38,Good
WQ1195,Punjab,River,8.3,24.8,2.13,7.76,0.9,13.24,486.4,1054.0,245.9,93.9,27.32,4.28,57.67,24.12,2.36,1.0,0.0046,2025-05-17,84.27,Good
WQ1196,UP,Pond,6.7,28.1,0.26,5.06,0.84,20.89,537.9,1015.7,235.4,59.13,25.04,3.11,48.75,6.98,0.73,240.0,0.0129,2024-07-09,92.67,Excellent
WQ1197,Kerala,Lake,7.52,19.7,0.27,6.38,1.84,0.37,430.3,729.2,350.6,37.32,27.13,44.94,8.3,12.71,0.84,127.0,0.0069,2025-04-15,89.48,Good
WQ1198,UP,Tap,7.6,20.7,5.89,5.77,4.28,21.23,89.2,631.9,144.2,73.97,12.15,5.21,93.15,4.5,0.04,641.0,0.0085,2025-11-20,81.05,Good
WQ1199,Odisha,Reservoir,7.41,22.5,3.06,5.58,0.69,19.28,516.3,820.0,276.1,49.88,18.67,124.53,10.89,4.84,0.86,134.0,0.0125,2024-12-10,93.2,Excellent
WQ1200,Rajasthan,Tap,6.76,17.3,1.28,8.96,3.71,7.42,522.9,1386.6,192.2,29.39,25.04,60.33,134.62,16.92,0.89,9.0,0.015,2024-01-01,87.69,Good
WQ1201,Gujarat,Well,6.66,19.9,4.76,4.26,0.06,1.79,314.0,171.0,279.5,37.68,22.66,2.36,14.42,18.1,0.67,8.0,0.0032,2024-04-19,91.27,Excellent
WQ1202,Gujarat,Lake,7.18,21.6,1.46,10.22,1.63,1.91,193.1,934.6,243.5,103.35,40.27,3.31,66.19,2.18,0.21,322.0,0.0016,2024-03-04,92.34,Excellent
WQ1203,Kerala,Tap,8.14,28.4,4.31,8.66,4.49,51.34,745.2,426.5,259.3,69.61,27.61,75.88,16.75,1.78,0.4,276.0,0.0035,2024-02-22,82.98,Good
WQ1204,Assam,River,7.63,25.3,2.23,9.18,1.24,23.38,548.3,694.0,195.0,62.69,35.26,131.24,19.12,5.49,0.07,64.0,0.0071,2024-09-18,92.03,Excellent
WQ1205,Bihar,Reservoir,6.9,25.0,8.67,6.07,2.49,2.72,404.2,625.6,199.0,53.75,25.11,46.07,18.55,18.44,0.38,144.0,0.0042,2025-06-12,86.19,Good
WQ1206,Kerala,Groundwater,7.82,28.3,8.59,6.7,0.69,8.82,222.6,571.5,278.7,67.3,37.68,64.7,68.89,3.11,0.17,101.0,0.0084,2024-10-28,90.34,Excellent
WQ1207,UP,Lake,4.92,23.3,3.24,4.13,4.06,17.95,285.6,696.9,344.4,67.01,29.77,128.69,40.69,8.44,0.26,512.0,0.0005,2024-08-21,74.89,Good
WQ1208,Kerala,River,8.12,26.0,2.16,5.95,0.16,36.11,710.5,359.7,190.2,67.3,25.16,75.43,107.26,9.85,0.11,449.0,0.0071,2024-03-13,86.07,Good
WQ1209,Gujarat,Pond,5.81,23.5,2.25,7.99,5.74,0.89,477.5,1008.8,163.1,62.87,24.84,20.37,18.36,12.06,0.16,619.0,0.0046,2024-12-22,74.96,Good
WQ1210,Bihar,Well,6.91,25.3,8.19,9.59,0.66,5.4,339.9,161.8,311.3,81.72,13.55,75.96,58.88,6.64,0.05,302.0,0.0077,2025-08-25,91.09,Excellent
WQ1211,Delhi,Reservoir,6.3,21.1,1.99,4.79,6.22,44.1,551.9,861.9,246.7,60.58,31.08,79.17,69.91,4.12,1.51,360.0,0.0055,2025-04-28,81.74,Good
WQ1212,Maharashtra,Lake,6.16,11.8,1.17,6.27,1.3,0.18,287.1,602.0,333.0,35.55,24.52,105.97,8.21,27.29,0.45,37.0,0.0033,2024-01-06,84.94,Good
WQ1213,MadhyaPradesh,Lake,8.13,23.3,0.44,6.7,3.85,4.5,750.2,348.7,159.4,44.69,18.98,77.59,25.59,7.56,0.3,267.0,0.0234,2025-12-10,83.5,Good
WQ1214,Haryana,Groundwater,6.83,31.1,3.14,4.21,1.15,63.9,720.6,760.7,72.1,10.52,38.28,278.53,32.97,10.43,0.46,185.0,0.002,2025-12-08,91.5,Excellent
WQ1215,WestBengal,Groundwater,7.48,28.6,3.29,8.18,7.09,19.01,356.7,232.9,196.7,110.67,10.0,17.58,21.98,3.38,0.59,494.0,0.0114,2024-05-16,80.02,Good
WQ1216,Kerala,Pond,7.16,28.8,9.19,5.55,0.41,6.07,324.3,711.9,173.4,81.57,19.93,241.42,19.44,8.87,1.53,127.0,0.0259,2025-02-07,91.9,Excellent
WQ1217,Odisha,Well,7.58,30.2,1.25,6.61,0.59,1.39,20.0,273.1,242.1,39.25,37.33,61.83,57.99,2.39,0.12,13.0,0.0077,2025-09-19,94.99,Excellent
WQ1218,TamilNadu,Pond,7.26,24.4,2.4,6.1,2.04,0.57,153.7,838.4,186.3,52.95,28.79,89.17,12.16,2.25,0.21,136.0,0.0209,2025-07-08,92.89,Excellent
WQ1219,Rajasthan,River,6.17,25.0,8.26,5.42,0.26,5.61,182.1,422.7,324.1,44.08,24.43,8.38,61.79,10.03,2.23,174.0,0.0013,2025-07-23,88.23,Good
WQ1220,Maharashtra,River,8.0,20.9,8.68,6.99,0.65,42.65,477.0,564.7,221.2,98.56,28.01,38.32,136.7,5.9,0.28,37.0,0.0068,2024-07-24,89.28,Good
WQ1221,MadhyaPradesh,Pond,6.8,22.4,2.43,6.57,8.63,10.75,384.8,788.2,265.0,24.5,27.15,117.36,41.64,9.2,0.01,75.0,0.0061,2025-02-13,81.82,Good
WQ1222,MadhyaPradesh,Well,5.95,27.1,3.07,6.26,11.25,25.48,180.9,468.2,265.8,62.86,6.8,98.18,47.26,2.51,0.1,137.0,0.0001,2025-08-28,74.83,Good
WQ1223,MadhyaPradesh,Pond,6.86,30.0,1.81,5.54,1.42,50.09,393.8,682.6,269.5,57.29,20.81,3.28,3.57,7.3,0.02,70.0,0.0059,2024-02-05,93.74,Excellent
WQ1224,MadhyaPradesh,Well,8.4,23.3,13.48,7.64,7.7,10.49,551.1,245.9,247.6,80.67,44.4,63.28,99.93,4.69,2.76,70.0,0.0046,2024-08-17,75.3,Good
WQ1225,UP,Well,7.88,21.7,0.63,10.31,2.36,4.25,555.6,889.3,301.1,57.4,17.09,7.39,16.8,7.27,0.2,21.0,0.0111,2024-08-14,89.48,Good
WQ1226,Odisha,Tap,6.92,24.0,13.57,7.28,0.94,14.56,70.1,1229.5,170.4,16.04,21.18,438.9,47.73,2.75,1.54,424.0,0.0279,2025-11-25,89.05,Good
WQ1227,Odisha,Reservoir,6.92,27.0,5.76,8.99,3.64,47.74,424.3,1537.7,389.9,53.72,18.5,182.07,193.43,10.05,3.3,208.0,0.0009,2024-09-18,87.32,Good
WQ1228,Bihar,Well,6.94,16.8,3.79,4.22,3.23,32.63,173.3,727.4,226.3,35.7,23.96,2.0,45.26,13.12,0.55,0.0,0.004,2024-05-10,89.78,Good
WQ1229,WestBengal,Groundwater,8.86,12.5,0.17,7.32,13.56,1.36,630.3,936.5,118.8,61.99,18.0,156.52,64.5,2.41,0.02,218.0,0.0059,2025-07-30,67.41,Medium
WQ1230,Gujarat,Well,7.51,21.2,3.23,4.81,0.92,23.59,606.8,165.8,268.8,95.85,30.84,201.49,29.47,2.86,0.05,202.0,0.0061,2025-03-23,92.22,Excellent
WQ1231,MadhyaPradesh,Well,7.54,17.9,2.62,4.05,3.34,16.97,270.4,1150.8,164.9,16.51,27.37,34.9,3.11,8.66,0.39,1.0,0.0149,2024-07-04,88.9,Good
WQ1232,TamilNadu,Well,8.02,21.5,0.88,5.52,0.16,47.6,296.8,932.9,316.5,39.99,34.28,101.69,79.88,9.51,0.31,69.0,0.0059,2025-09-20,90.85,Excellent
WQ1233,Gujarat,Tap,7.39,23.3,5.34,9.38,0.36,2.61,357.7,554.8,471.0,46.18,12.39,46.69,1.78,9.74,0.56,140.0,0.0003,2024-07-04,91.59,Excellent
WQ1234,Odisha,Tap,6.99,21.7,17.73,8.9,0.01,15.27,20.0,1071.2,171.3,50.46,20.92,85.19,60.31,9.18,0.35,90.0,0.0124,2024-09-30,90.96,Excellent
WQ1235,Punjab,River,7.04,31.3,4.13,7.49,22.58,42.32,517.2,623.7,283.2,78.5,22.29,33.28,1.16,3.99,1.63,226.0,0.0216,2025-10-24,61.23,Medium
WQ1236,Punjab,Tap,7.14,25.6,6.27,3.93,4.86,10.55,395.4,562.6,74.4,55.66,30.47,31.15,99.14,4.02,0.46,83.0,0.0072,2024-12-17,88.09,Good
WQ1237,TamilNadu,Groundwater,7.17,25.5,0.35,6.61,4.64,13.16,644.0,842.6,295.4,70.4,15.48,44.19,8.58,2.35,0.71,25.0,0.0087,2025-02-16,91.13,Excellent
WQ1238,Bihar,Groundwater,7.78,27.1,2.7,7.6,2.14,1.46,230.3,381.0,161.4,44.36,35.99,12.59,36.11,1.36,1.36,562.0,0.0018,2024-05-30,86.05,Good
WQ1239,Odisha,Tap,7.24,18.3,0.62,7.35,1.07,6.52,326.2,1006.5,187.5,65.75,39.24,142.29,45.46,9.44,0.1,42.0,0.0025,2025-01-18,93.76,Excellent
WQ1240,TamilNadu,Pond,7.79,29.2,4.74,3.31,0.49,7.85,148.7,383.2,139.9,79.44,13.13,34.3,30.58,0.78,0.16,190.0,0.0027,2024-02-05,91.76,Excellent
WQ1241,UP,Reservoir,7.14,23.6,13.94,5.22,1.01,58.05,249.1,385.0,323.2,41.69,19.11,40.89,20.83,22.22,0.07,23.0,0.0056,2024-11-21,86.71,Good
WQ1242,Kerala,Tap,7.26,27.4,5.42,6.87,1.41,6.64,213.6,427.1,350.7,79.53,18.62,179.59,31.54,14.02,0.09,60.0,0.0263,2025-04-09,90.15,Excellent
WQ1243,TamilNadu,Well,5.6,18.6,0.4,8.07,4.24,12.36,649.2,927.9,252.3,61.31,56.59,54.91,18.66,15.59,0.43,88.0,0.0074,2025-04-10,80.96,Good
WQ1244,Delhi,Lake,7.93,16.2,2.19,2.61,2.33,22.25,310.3,515.0,163.6,86.14,19.84,62.87,28.82,18.97,0.23,32.0,0.0021,2024-04-04,85.19,Good
WQ1245,Gujarat,Reservoir,7.48,28.1,4.0,6.68,0.24,3.54,474.8,295.6,409.0,54.96,45.13,250.8,22.23,4.2,0.33,90.0,0.0031,2024-05-13,93.88,Excellent
WQ1246,Maharashtra,Reservoir,8.0,25.9,2.58,7.29,0.05,13.33,373.8,518.3,175.0,69.53,9.8,174.24,41.76,15.0,2.43,26.0,0.0048,2024-06-10,89.39,Good
WQ1247,Karnataka,Groundwater,4.88,19.5,8.97,8.7,0.32,26.83,196.1,690.4,33.8,58.98,13.12,14.85,13.59,1.38,0.1,123.0,0.0098,2025-07-09,84.58,Good
WQ1248,Bihar,Reservoir,8.87,19.7,8.43,8.39,1.59,40.33,416.3,345.7,295.8,57.59,16.76,51.28,223.96,0.18,0.47,163.0,0.0058,2024-10-26,84.05,Good
WQ1249,TamilNadu,Tap,7.09,29.6,4.73,8.17,8.12,19.68,569.8,354.5,139.5,66.47,14.85,284.06,34.74,12.29,0.06,10.0,0.005,2024-12-21,82.16,Good
WQ1250,Odisha,Well,8.09,18.1,2.34,5.4,3.04,22.12,208.4,1333.4,348.9,73.42,21.79,37.26,10.79,0.62,0.23,307.0,0.0083,2024-08-27,86.03,Good
WQ1251,Rajasthan,Well,6.37,32.2,1.47,3.18,4.86,2.7,611.8,441.8,211.9,28.76,16.49,37.16,32.42,35.74,0.45,31.0,0.0028,2025-07-17,78.09,Good
WQ1252,Punjab,River,7.69,19.5,0.56,6.21,1.88,58.29,280.1,603.1,310.4,95.84,15.17,17.36,100.65,8.99,1.76,38.0,0.0008,2025-08-08,90.48,Excellent
WQ1253,Delhi,Well,6.36,27.2,2.19,9.0,1.35,2.84,353.4,589.8,390.2,13.51,38.9,9.71,1.1,11.2,0.3,162.0,0.0002,2024-06-15,89.14,Good
WQ1254,WestBengal,Well,6.7,22.4,2.67,9.79,0.34,29.8,556.1,573.6,129.1,42.88,39.69,107.86,56.9,2.26,0.04,95.0,0.0029,2024-05-19,95.56,Excellent
WQ1255,MadhyaPradesh,Groundwater,8.73,27.0,5.63,8.42,6.26,6.15,317.3,886.4,193.4,57.64,36.39,117.58,39.7,8.96,0.29,104.0,0.001,2024-05-18,76.54,Good
WQ1256,Karnataka,Well,7.05,21.3,5.37,7.86,4.59,54.24,457.5,984.4,242.4,70.31,31.29,277.93,9.29,0.35,0.09,21.0,0.0041,2024-08-22,90.94,Excellent
WQ1257,Assam,River,7.37,23.2,0.36,7.76,0.55,25.46,387.1,608.2,403.8,99.4,26.11,118.77,85.04,14.55,0.16,246.0,0.0148,2024-01-03,90.39,Excellent
WQ1258,Bihar,Lake,7.9,24.2,2.51,5.89,2.15,28.03,475.9,329.1,184.2,13.54,19.04,22.31,23.01,1.49,0.58,144.0,0.0126,2024-09-12,89.64,Good
WQ1259,Maharashtra,Tap,7.6,19.0,1.0,6.74,2.0,4.95,20.0,1082.3,190.5,47.31,13.56,3.28,17.39,9.56,0.04,22.0,0.0094,2025-01-05,90.61,Excellent
WQ1260,Karnataka,Groundwater,7.32,27.7,0.85,10.34,2.94,11.71,84.1,671.4,297.8,6.83,29.36,338.34,88.05,2.03,0.37,70.0,0.0191,2024-10-04,92.43,Excellent
WQ1261,TamilNadu,Lake,7.49,21.4,8.78,5.11,8.77,19.24,573.2,1219.1,192.3,60.79,10.92,33.3,50.88,0.57,0.56,249.0,0.0033,2025-05-30,79.1,Good
WQ1262,UP,Groundwater,9.12,22.9,0.21,10.23,2.6,29.39,657.4,50.0,265.3,66.79,13.07,29.91,114.27,5.25,0.33,126.0,0.0216,2024-07-30,82.6,Good
WQ1263,Punjab,Pond,7.15,19.0,2.72,6.36,2.33,2.2,267.9,758.6,94.8,99.77,38.83,189.12,49.7,1.48,0.01,17.0,0.0051,2024-08-03,94.32,Excellent
WQ1264,Odisha,Reservoir,7.36,11.2,0.92,9.65,0.15,65.6,401.2,1275.6,471.4,63.02,47.81,70.38,67.51,10.46,2.54,70.0,0.0051,2024-09-26,93.86,Excellent
WQ1265,Punjab,Pond,8.04,23.0,10.57,4.19,0.19,44.19,508.9,594.0,115.2,86.1,29.72,19.35,90.53,2.17,0.27,42.0,0.0052,2025-04-20,90.27,Excellent
WQ1266,WestBengal,Well,8.08,36.1,4.07,8.17,0.62,6.3,588.6,632.4,217.8,74.6,38.28,175.93,2.81,3.35,0.9,109.0,0.001,2025-06-11,90.35,Excellent
WQ1267,UP,Lake,8.15,27.9,1.32,5.53,0.1,34.61,44.5,788.7,246.8,49.12,22.05,401.18,74.82,6.7,0.24,278.0,0.0371,2024-03-04,88.91,Good
WQ1268,MadhyaPradesh,Well,7.71,23.9,3.49,4.17,4.08,14.61,272.8,532.4,441.3,24.78,8.95,7.25,47.56,2.68,0.39,86.0,0.0015,2025-04-04,87.62,Good
WQ1269,Odisha,Reservoir,6.29,22.7,6.57,7.44,3.85,12.39,383.5,606.4,117.5,66.88,32.35,158.59,3.6,3.8,0.3,85.0,0.0042,2024-01-16,86.71,Good
WQ1270,Gujarat,Groundwater,8.51,24.1,15.86,9.02,0.44,7.55,590.6,598.7,448.4,22.7,31.83,39.61,35.52,13.53,0.25,354.0,0.0038,2025-07-17,79.43,Good
WQ1271,Haryana,Reservoir,6.28,26.7,1.25,5.31,5.43,17.4,949.7,511.8,325.7,92.38,25.86,59.4,4.3,1.58,0.01,129.0,0.0008,2024-01-19,86.12,Good
WQ1272,Delhi,River,7.44,18.1,10.87,4.0,0.5,26.18,404.4,1068.7,291.7,55.95,22.09,197.04,66.58,0.69,0.27,125.0,0.0017,2024-11-20,92.33,Excellent
WQ1273,Punjab,Reservoir,6.6,29.6,13.61,6.82,1.08,10.58,168.6,838.3,151.5,89.88,36.55,290.08,39.54,3.18,1.32,46.0,0.0005,2024-04-02,90.88,Excellent
